nbProcess=4;
nbJobs =12;
nbMchs =8;
Process1=[4,4,4,4,4,4,4];
pidle=[1,2,3,1,2,3,1,2];
EnergyS=[10,30,60,10,30,60,10,20];
TB=[10,15,20,10,15,20,10,20];
x=
[
[
[1,0,0,0,],
[1,0,0,0,],
[1,0,0,0,],
[1,0,0,0,],
[1,0,0,0,],
[0,0,0,0,],
[0,0,0,0,],
[0,0,0,0,],
[0,0,0,0,],
[0,0,0,0,],
[0,0,0,0,],
[0,0,0,0,],
],
[
[1,1,0,0,],
[0,1,0,0,],
[1,0,0,0,],
[1,0,0,0,],
[1,0,1,0,],
[1,0,0,0,],
[1,0,0,0,],
[0,0,0,0,],
[1,0,0,0,],
[0,0,0,0,],
[1,0,0,0,],
[1,0,0,0,],
],
[
[1,0,0,0,],
[1,1,0,0,],
[0,1,0,0,],
[0,1,0,0,],
[1,0,0,0,],
[1,1,0,0,],
[1,1,0,0,],
[1,0,0,0,],
[1,1,0,0,],
[1,0,0,0,],
[1,1,0,0,],
[1,1,0,0,],
],
[
[0,1,1,0,],
[0,0,0,0,],
[0,1,1,0,],
[0,0,1,0,],
[0,1,0,0,],
[1,1,0,1,],
[0,0,0,0,],
[1,0,0,0,],
[0,1,0,0,],
[1,0,0,0,],
[0,1,0,0,],
[0,0,0,0,],
],
[
[0,0,1,0,],
[0,0,1,1,],
[0,0,1,0,],
[0,1,0,1,],
[0,1,1,0,],
[0,1,1,0,],
[0,1,1,1,],
[0,1,1,0,],
[0,0,1,0,],
[0,1,1,0,],
[0,0,1,0,],
[0,1,1,1,],
],
[
[0,0,0,0,],
[0,0,1,0,],
[0,0,1,1,],
[0,0,1,1,],
[0,0,1,1,],
[0,0,1,0,],
[0,0,1,0,],
[0,1,1,0,],
[0,0,0,1,],
[0,1,1,0,],
[0,0,0,1,],
[0,0,1,0,],
],
[
[0,1,1,1,],
[0,0,1,0,],
[0,1,0,0,],
[0,0,0,0,],
[0,1,0,0,],
[0,0,1,1,],
[0,0,1,0,],
[0,0,1,1,],
[0,0,1,0,],
[0,0,1,1,],
[0,0,1,0,],
[0,0,1,0,],
],
[
[0,0,0,1,],
[0,0,0,1,],
[0,0,0,1,],
[0,0,0,0,],
[0,0,0,1,],
[0,0,0,0,],
[0,0,0,1,],
[0,0,0,1,],
[0,0,0,1,],
[0,0,0,1,],
[0,0,0,1,],
[0,0,0,1,],
],
];
ptime =
[
[
[247,0,0,0],
[214,0,0,0],
[87,0,0,0],
[87,0,0,0],
[128,0,0,0],
[0,0,0,0],
[0,0,0,0],
[0,0,0,0],
[0,0,0,0],
[0,0,0,0],
[0,0,0,0],
[0,0,0,0]
],
[
[223,130,0,0],
[0,66,0,0],
[62,0,0,0],
[65,0,0,0],
[123,0,100,0],
[145,0,0,0],
[157,0,0,0],
[0,0,0,0],
